Student,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
1857,unassigned,MSC--09C-- (Room 226),MSS--09C-- (Room 121),MDNC-09H-- (Room Studio),MPHE-09B-- (Room Gym),MEN--09C-- (Room A-6),MFR--09--- (Room A-2),MMA--09C-- (Room 212)
1858,MADGE09--- (Room 105),MADD-09--- (Room 105),MPHE-09--- (Room Gym),MEN--09--- (Room A-2),MMA--09--- (Room 210),MFR--09--- (Room 207B),MSS--09--- (Room 205B),MSC--09--- (Room 216)
1859,MWBDV10IT- (Room 114),MADGE09--- (Room 104),MSS--09C-- (Room 121),MEN--09C-- (Room 205A),MADEM10--- (Room 208),MPHE-09B-- (Room Gym),MSP--09--- (Room 207B),MSC--09C-- (Room 211)
1860,MPHE-09--L (Room Gym),MSC--09--- (Room 227),XLDCB09LSL (Room 109),MVA--09--- (Room 116),MPHE-09--L (Room Gym),MSS--09--- (Room 107),XLDCB09LSL (Room 109),MEN--09--- (Room 205B)
1861,MEN--09--- (Room A-6),MADGE09--- (Room 104),MMA--09H-- (Room 106),XLDCB09M-- (Room 103),MVA--09--- (Room 116),MPHE-09--- (Room Gym),MSS--09--- (Room 122),MSC--09--- (Room 216)
1862,XBA--09C-L (Room 119),MADGE09--- (Room 104),MMA--09H-- (Room 106),MEN--09--- (Room 222),MSC--09--- (Room 211),MSS--09--- (Room 222),XBA--09G-- (Room 119),XBA--09C-L (Room 119)
1863,MMA--09--- (Room 220),MPHE-09Y-- (Room Gym),MEN--09E-- (Room 107),MADD-09--- (Room 105),MVA--09--- (Room 116),MSS--09--- (Room 222),MPHE-09G-- (Room Gym),MSC--09--- (Room 226)
1864,MEN--09--- (Room A-6),MMA--09--- (Room 106),MVA--09--- (Room 116),MSS--09--- (Room 121),MADT-09--- (Room A-7),MADGE09--- (Room 105),MPHE-09G-- (Room Gym),MADEM10--- (Room 208)
1865,MFR--11--- (Room A-3),MMA--09--- (Room 106),MPHE-09G-- (Room Gym),MVA--09--- (Room 116),MSC--09--- (Room 211),MSS--09--- (Room 121),MWBDV10IT- (Room 114),MEN--09--- (Room 205B)
1866,MFR--09--- (Room 208),MSC--09C-- (Room 226),MPHE-09--- (Room Gym),MDNC-09H-- (Room Studio),MSS--09C-- (Room 209),MEN--09C-- (Room A-6),MWBDV10IT- (Room 203),MADEM10--- (Room 208)
1867,MPHE-09--L (Room Gym),MMA--09--- (Room 106),MEN--09--- (Room A-3),MADER09--- (Room 104),MPHE-09--L (Room Gym),MSS--09--- (Room 123),XBA--09G-- (Room 119),MSC--09--- (Room 216)
1868,MMA--09--- (Room 220),MADGE09--- (Room 104),XLDCB09M-- (Room 103),MEN--09--- (Room 107),MADD-09--- (Room 105),MPHE-09--- (Room Gym),MSS--09--- (Room 122),MSC--09--- (Room 216)
1869,MFR--09--- (Room 208),MMA--09--- (Room 106),MEN--09--- (Room A-3),MDNC-09H-- (Room Studio),MSC--09--- (Room 211),MSS--09--- (Room 107),MPHE-09G-- (Room Gym),MADEM10--- (Room 208)
