Student,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
1210,MBSP-11---,unassigned,MDNC-12--L,MCLC-12--L,MENFP12---,MACLV12G--,unassigned,MPREC12---
1211,MENR-12---,MLFSC11---,MCH--12---,MCLC-12--L,MCALC12---,unassigned,MATPH12---,unassigned
1212,unassigned,unassigned,YPSYC1AX--,MACLV12---,MENFP12---,MFOOD12---,MFOM-11---,unassigned
1213,MENR-12---,MCH--11---,MCH--12---,MCLC-12--L,MENFP12---,MTROB12--L,MCALC12---,unassigned
1214,AELC-12---,unassigned,MATPH12---,MCLC-12--L,MIMCB12--L,unassigned,MCALC12---,MIMJB12--L
1215,unassigned,unassigned,MATPH12---,MCLC-12--L,MENFP12---,unassigned,MCH--12---,YED--2FX-L
1216,MPH--12---,unassigned,MCH--12---,MCLC-12--L,ACAL-12---,MAC--11---,MENST12---,unassigned
1217,unassigned,unassigned,ASTA-12---,MCLC-12--L,MCALC12---,MTROB12--L,APHM-12---,MPREC12---
1218,unassigned,unassigned,MLFSC11---,MODED12---,unassigned,unassigned,unassigned,MFR--12---
1219,AELC-12---,unassigned,MCH--12---,MCLC-12--L,unassigned,unassigned,MATPH12---,MPREC12---
1220,MPH--12---,MFOOD12---,MCH--12---,MCLC-12--L,MCALC12---,MCMCC12--L,MATPH12---,unassigned
1221,MFOOD12---,unassigned,MCH--12---,MCLC-12--L,ACAL-12---,MMUOR12S-L,MPH--12---,MTDRF12---
1222,MMEDD12---,MCH--11---,MDMD-12D--,MCLC-12--L,MCALC12---,MMUOR12S-L,APHM-12---,MPREC12---
1223,unassigned,MDRM-12---,MATPH12---,MCLC-12--L,MENST12---,MFOOD12---,MCALC12---,MPREC12---
1224,MPH--12---,unassigned,MATPH12---,MCLC-12--L,MENST12---,MVAST12---,MCALC12---,MPREC12---
1225,MDNTP12---,MFOOD12---,MATPH12---,MCLC-12--L,YESFL1CX--,MVAST12---,unassigned,unassigned
1226,AELC-12---,MLFSC11---,ASTA-12---,MCLC-12--L,unassigned,unassigned,MCALC12---,MPREC12---
1227,MVAST12---,unassigned,MLFSC11---,MENST12---,MPREC11---,unassigned,unassigned,unassigned
1228,AELC-12---,unassigned,MCH--12---,MCLC-12--L,MPREC12H--,YCPA-2AX-L,MCALC12---,YED--2DX-L
1229,MPH--12---,unassigned,MCH--12---,MCLC-12--L,MENST12---,unassigned,MATPH12---,MPREC12---
1230,MLST-12---,MFOOD12---,MVAPH11---,MCLC-12--L,unassigned,unassigned,MENST12---,YED--2CX--
1231,MDNTP12---,unassigned,MCH--12---,MCLC-12--L,MENST12---,MFOM-11---,MATPH12---,unassigned
1232,MFOOD12---,YED--2CX--,unassigned,MENST12---,unassigned,MCLC-12---,MFOM-11---,unassigned
1233,unassigned,MTDRF12---,MWWK-12---,MCLC-12--L,MENFP12---,MACLV12---,MPH--12---,MPREC12---
1234,MPH--12---,MMACS11---,MCH--12---,MCLC-12--L,MENFP12---,unassigned,MCALC12---,unassigned
