Student,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
1257,LIFE SCIENCES 11 (Room 211),PRE-CALCULUS 12 HONOURS (Room 221),ENGLISH STUDIES 12 CHALLENGE (Room 209),ECONOMICS 12 (Room 209),LAW STUDIES 12 (Room 107),ANATOMY AND PHYSIOLOGY 12 (Room 211),AP CALCULUS AB 12 external credential (Room 221),CHEMISTRY 12 (Room 216)
1258,ANATOMY AND PHYSIOLOGY 12 (Room 225),ENGLISH STUDIES 12 CHALLENGE (Room A-6),PHYSICS 12 (Room 219),ECONOMICS 12 (Room 209),CALCULUS 12 (Room 106),20th CENTURY WORLD HISTORY 12 (Room 121),PHYSICAL GEOGRAPHY 12 (Room 121),unassigned
1259,AP STATISTICS 12 (Room 220),AP PHYSICS C (MECHANICS) 12 external credential (Room 225),ENGLISH STUDIES 12 CHALLENGE (Room 209),CHEMISTRY 12 (Room 223),AP STATISTICS 12 (Room 220),AP PHYSICS C (MECHANICS) 12 external credential (Room 225),AP CALCULUS AB 12 external credential (Room 221),unassigned
1260,PHYSICS 11 (Room 216),PRE-CALCULUS 12 HONOURS (Room 221),20th CENTURY WORLD HISTORY 12 (Room 107),unassigned,AP ENGLISH LITERATURE & COMPOSITION 12 (Room A-6),ANATOMY AND PHYSIOLOGY 12 (Room 211),LITERARY STUDIES 12 (Room 208),CHEMISTRY 12 (Room 219)
1261,SPOKEN LANGUAGE 11 (Room 208),SOCIAL JUSTICE 12 (Room A-3),PHYSICS 12 (Room 219),PRE-CALCULUS 12 (Room 212),LAW STUDIES 12 (Room 107),CALCULUS 12 (Room 221),ACTIVE LIVING 12 (Room Gym),CONTEMPORARY INDIGENOUS STUDIES 12 (Room A-2)
1262,COMPUTER SCIENCE 11 (Room 203),ANATOMY AND PHYSIOLOGY 12 (Room 219),3D ANIMATION 12 (Room 114),PRE-CALCULUS 11 (Room 106),FOUNDATIONS OF MATHEMATICS 11 (Room 214),20th CENTURY WORLD HISTORY 12 (Room 121),AUTOMOTIVE TECHNOLOGY 12 (Room 102),ENGLISH STUDIES 12 (Room 107)
1263,PRE-CALCULUS 12 (Room 221),CHEMISTRY 12 (Room 226),unassigned,INSTRUMENTAL MUSIC 12: CONCERT BAND LINEAR (Room 119),AP ENGLISH LITERATURE & COMPOSITION 12 (Room A-6),ANATOMY AND PHYSIOLOGY 12 (Room 211),INSTRUMENTAL MUSIC 12: CONCERT BAND LINEAR (Room 119),CALCULUS 12 (Room 106)
1264,CHEMISTRY 12 (Room 219),PRE-CALCULUS 12 HONOURS (Room 221),ENGLISH STUDIES 12 CHALLENGE (Room 209),PHYSICS 12 (Room 226),CALCULUS 12 (Room 106),ANATOMY AND PHYSIOLOGY 12 (Room 227),AP CALCULUS AB 12 external credential (Room 221),unassigned
1265,PRE-CALCULUS 12 (Room 212),unassigned,AUTOMOTIVE TECHNOLOGY 12 (Room 102),FOOD STUDIES 12 (Room 206),ENGLISH STUDIES 12 (Room 123),DRAMA 12 (Room A-1),ACTIVE LIVING 12 (Room Gym),CONTEMPORARY INDIGENOUS STUDIES 12 (Room A-2)
1266,ENGLISH FIRST PEOPLES 12 (Room 122),CHEMISTRY 12 (Room 226),PHYSICS 12 (Room 219),FOOD STUDIES 12 (Room 206),CALCULUS 12 (Room 106),ENGINEERING 12 (Room 105),OUTDOOR EDUCATION 12 (Room _CHECK THIS THING IDK),ENVIRONMENTAL SCIENCE 12 - CLIMATE CHANGE (Room 123)
1267,ENGLISH FIRST PEOPLES 12 (Room 122),PHOTOGRAPHY 11 (Room 113),3D ANIMATION 12 (Room 114),MEDIA DESIGN 12 (Room 114),LAW STUDIES 12 (Room 107),20th CENTURY WORLD HISTORY 12 (Room 121),PHOTOGRAPHY 12 (Room 113),TEXTILES 12 (Room A-7)
1268,PHYSICS 11 (Room 227),E-COMMERCE 12 (Room 209),ENGLISH STUDIES 12 (Room 205B),unassigned,unassigned,CALCULUS 12 (Room 221),PHYSICS 12 (Room 219),unassigned
1269,ELL Academic Literacy 11 (Room 208),unassigned,CHEMISTRY 11 (Room 227),PRE-CALCULUS 12 (Room 212),CALCULUS 12 (Room 106),ANATOMY AND PHYSIOLOGY 12 (Room 211),PHYSICS 12 (Room 219),CHEMISTRY 12 (Room 216)
1270,ELL Academic Literacy 11 (Room 208),ECONOMICS 12 (Room 209),20th CENTURY WORLD HISTORY 12 (Room 107),ENGLISH FIRST PEOPLES 12 Year (Room 222),unassigned,DRAMA 12 (Room A-1),PRE-CALCULUS 12 (Room 212),ENGLISH FIRST PEOPLES 12 Year (Room 222)
1271,ANATOMY AND PHYSIOLOGY 12 (Room 225),SOCIAL JUSTICE 12 (Room A-3),PHYSICS 12 (Room 219),ENGLISH FIRST PEOPLES 12 (Room 207A),DRAFTING 12 (Room 105),PRE-CALCULUS 12 (Room 220),ACTIVE LIVING 12 (Room Gym),CHEMISTRY 12 (Room 216)
